"Word","Weight"
"-air",0.00579159273470616
"-capacity",0.00354934928127527
"-risk",-0.0147846544262544
"-span",-0.00514328930676582
"-staff",-0.00333382101089454
"-studio",-0.0256791137200541
"-term",0.00476283484627186
"’ll",0.0133205840704826
"(-ia)",-0.00905814983048387
"(pic)",0.0177220125897012
"(via",4.45558162688249e-05
"@amtrak",-0.00425113141206752
"@barackobama",-0.00381948424637645
"@chuckschumer",-0.00470508893599141
"@chucktodd",-0.0109840942782474
"@cnbc'",0.00104282596900349
"@facethenation",0.0029596417413367
"@foxandfriends",-0.00360687384055037
"@foxnews",0.00843347475120329
"@grahamblog",0.00718518499187877
"@gretawire",0.00721018118186986
"@huffingtonpost",0.0142804611548113
"@jerrymoran",-0.0120402660504652
"@jimdemint",0.00683391943710118
"@joelieberman,",0.00520838933423677
"@kaybaileyhutch",0.0351475408953492
"@larry_kudlow",0.010846217750847
"@lawrence",0.0156855084210144
"@lisamurkowski",-0.00804411697615219
"@maddow",-0.00013858134184579
"@marcorubio",-0.0127589311902933
"@markreardonkmox",0.0160489919801358
"@markwarner",-0.00574405261096228
"@meetthepress",-0.00303263129439306
"@mitchellreports",-0.0142950898625499
"@nasa",-0.00701621701897586
"@nytimes",-0.00328503445091749
"@orrinhatch",-0.0201091514070652
"@raylahood",0.00618832472771983
"@reppaulryan",-0.000264927185311544
"@rickklein",-0.00926466817205534
"@robportman",0.000602436833105747
"@ronwyden",0.0100127290755413
"@roybluntpress:",0.0158676291635561
"@seanhannity",0.00400228489225438
"@senate_gops",0.00123361154936058
"@senatorakaka",0.0034230737106722
"@senatorayotte",-0.0123605883508713
"@senatorbarb",0.0460531509859191
"@senatorbegich",-0.00159212919441019
"@senatorboxer",-0.00386970907036628
"@senatorcardin",-0.0113910335955245
"@senatorcarper",-0.0216209977090662
"@senatorcollins",-0.00368125876365614
"@senatorkirk",-0.0151528439641451
"@senatorlugar",-0.0155488597612867
"@senatormenendez",0.00382746402728746
"@senatorreid",-0.0199100723808212
"@senatorsanders",-0.000963365020340081
"@senatorsessions",-0.00582121284918517
"@sengillibrand",-0.00213998213617148
"@senjeffmerkley",-0.0117015879674882
"@senjohnbarrasso",-0.0140020472396131
"@senjohnmccain",0.00874396657112123
"@senronjohnson",0.0129342590112626
"@sentoomey",0.00165601829829811
"@theearlyshow",-0.0459025591964047
"@thekudlowreport",0.00141402843098876
"@todayshow",-0.000443136767931861
"@usda",-2.60857525149752e-05
"@usedgov",-0.000688663408977093
"@ussoccer_wnt",-0.00351152432911537
"@whitehouse",-0.000115204250848366
"@wolfblitzercnn",-0.0307415187238515
"@wsj",0.00700178359831697
"/via",0.00867264684071263
"#2011budget",0.00151784631798086
"#99countytour",-0.0309548014152698
"#afghanistan",0.0293694471367626
"#ak",-0.0168754608524542
"#askobama",-0.00377214085744009
"#bba",0.0196912988801619
"#bbamdt",0.00129759902366096
"#bbth",0.0024870397492719
"#bigoil",0.00073360739425593
"#boeing",-0.0153027782825525
"#capact",-0.0105027617662618
"#cnn",-0.00283987953345154
"#congress",-0.00948302750264529
"#cutcapbalance",0.00469217771271529
"#cutcapbalance.",0.00866286780080801
"#dailycut",-0.0129048752678421
"#debt",-0.00499348837164702
"#debt.",0.00157358842088571
"#debtceiling",0.00426393744460275
"#debtceiling:",-0.0356542882589021
"#deficit",-8.31806973610731e-05
"#doma",-0.0118309194628792
"#dontendmedicare",-0.0165534280517455
"#dreamact",-0.014729508567718
"#dreamact.",-0.0671993348665665
"#dreamers",-0.0225636205405437
"#dreamhearing",-0.00978322623589425
"#dreamhearing:",-0.0326123932123631
"#education",-0.0290848169619905
"#egypt",-0.000332603453782491
"#energy",-0.00649923486600831
"#ethanol",-0.0283875749518931
"#filibuster",-0.015817978081578
"#flood",-0.00867935443721145
"#flooding",0.0105727725518623
"#gangofsix",0.010841844073952
"#gasprices",-0.010814967712811
"#gop",0.00886757754757364
"#gopbudget",0.00269051751687932
"#iditarod",-0.0138493738747371
"#indiana",-0.0196146138592238
"#isintendedtobeafactualstatement",0.00445763725133546
"#itsnotagame.",-0.0126925161165248
"#jobs.",-0.0155295415545545
"#joplin",-0.0163135599606829
"#ky",0.0200432047292484
"#latcot",0.0533294835681777
"#lgbt",0.0205405289314337
"#libya",-0.00621916631315682
"#libya.",0.0178543136073146
"#livetweet",0.0147831269330018
"#louisiana",-0.038428541480716
"#lugar",0.0222959177739653
"#maidenspeech",0.00130295333349326
"#marchmadness",0.0110407030442288
"#medicare",-0.0225270613076088
"#mepolitics",-0.0139760852193809
"#ncaa",0.000321727027719948
"#ncgop",-0.00298073006721008
"#netde",0.0498382025092571
"#nh",-0.0389064838367485
"#nj",0.00721610645659214
"#nlrb",-0.0297655496326284
"#nmfire",-0.032377000131368
"#nola",-0.0272453084076693
"#notime2waste",0.0147021096912608
"#nuclear",-0.00858241890675254
"#nvleg",-0.00202867634390209
"#ny",-0.00369847063863225
"#nyc",-0.0388690200991056
"#obama",-0.0130016095465499
"#obamacare.",0.0301465441026189
"#obl",0.0129425929520553
"#ohio",-0.0054395316953774
"#oil",-0.00151207389659585
"#playbookbreakfast",-0.028309747818935
"#pollutedpolitics",-0.0162644569156563
"#potus",-0.00186214180293607
"#r2v",0.0229028288390579
"#repealdoma",-0.0338135408045556
"#scgop",-0.0174476210720066
"#scports",0.0530603187041641
"#sharedsacrifice",-0.00308443006326632
"#shutdown",-0.0291115223039217
"#shutdown.",-0.000443168556311598
"#smallbiz",-0.00209399567795813
"#sotu.",-0.000176932683749022
"#sts135",0.00749825658043951
