"Word","Weight"
"-air",0.00580909259810982
"-capacity",0.00356331202319053
"-risk",-0.0146359155953195
"-span",-0.00510941575418625
"-staff",-0.00350566120418007
"-studio",-0.0257563961356132
"-term",0.00472976885271305
"’ll",0.0135030140523457
"(-ia)",-0.00960960092201816
"(pic)",0.0178071384941945
"(via",4.70556895443926e-05
"@amtrak",-0.00424715705758496
"@barackobama",-0.00390001916779853
"@chuckschumer",-0.00470477275915449
"@chucktodd",-0.011006730419031
"@cnbc'",0.000997280284192129
"@facethenation",0.00294210336055416
"@foxandfriends",-0.00355665514553664
"@foxnews",0.00845922195321363
"@grahamblog",0.00715277914563696
"@gretawire",0.0072269308122384
"@huffingtonpost",0.0141949830911521
"@jerrymoran",-0.0120261443187643
"@jimdemint",0.00683265040135327
"@joelieberman,",0.00512267611597651
"@kaybaileyhutch",0.0349196095494348
"@larry_kudlow",0.0108487150187087
"@lawrence",0.0156167721989855
"@lisamurkowski",-0.00781040072265239
"@maddow",-0.000141893430135882
"@marcorubio",-0.0127764041957503
"@markreardonkmox",0.0159918130292767
"@markwarner",-0.0057838297536225
"@meetthepress",-0.00288293061928561
"@mitchellreports",-0.0142783087758687
"@nasa",-0.00688242807638028
"@nytimes",-0.00339291216683975
"@orrinhatch",-0.0200777392607469
"@raylahood",0.0061997135656461
"@reppaulryan",-0.000377635145415963
"@rickklein",-0.00917650367006668
"@robportman",0.000870107824370895
"@ronwyden",0.0101104598001628
"@roybluntpress:",0.0158321648191255
"@seanhannity",0.00398508821362082
"@senate_gops",0.00153848282346758
"@senatorakaka",0.00337515766254556
"@senatorayotte",-0.0122827601570965
"@senatorbarb",0.0460150706305834
"@senatorbegich",-0.00148673301321955
"@senatorboxer",-0.00383801882137637
"@senatorcardin",-0.0115459750784931
"@senatorcarper",-0.0216483573189481
"@senatorcollins",-0.00358997519211612
"@senatorkirk",-0.0151883946890692
"@senatorlugar",-0.0154343806209357
"@senatormenendez",0.00384278768649538
"@senatorreid",-0.0200898623402019
"@senatorsanders",-0.0010947181360593
"@senatorsessions",-0.00581824553669059
"@sengillibrand",-0.00214214355720671
"@senjeffmerkley",-0.0116414050445369
"@senjohnbarrasso",-0.0140153963946664
"@senjohnmccain",0.00873329979253533
"@senronjohnson",0.012899887473598
"@sentoomey",0.00167215698668255
"@theearlyshow",-0.0458827504741473
"@thekudlowreport",0.00135700311946157
"@todayshow",-0.000393017528604079
"@usda",-1.34550845017082e-05
"@usedgov",-0.00109564057318539
"@ussoccer_wnt",-0.00330475471493665
"@whitehouse",-9.37060807297081e-05
"@wolfblitzercnn",-0.0306513650691189
"@wsj",0.00693458662704696
"/via",0.00848089916357669
"#2011budget",0.00154825051295704
"#99countytour",-0.0307893524044754
"#afghanistan",0.0293011546873018
"#ak",-0.0169388162885726
"#askobama",-0.0037846044544152
"#bba",0.019519182501522
"#bbamdt",0.00117750592889357
"#bbth",0.00252906947806371
"#bigoil",0.000736372916916801
"#boeing",-0.0153370880661368
"#capact",-0.0105600902605445
"#cnn",-0.00287716923344289
"#congress",-0.00960031234698104
"#cutcapbalance",0.00472392538496703
"#cutcapbalance.",0.00849949861366702
"#dailycut",-0.0135946885799295
"#debt",-0.00507418369860515
"#debt.",0.00155664689559685
"#debtceiling",0.00423962031429656
"#debtceiling:",-0.0358652931297256
"#deficit",-6.47136682563969e-05
"#doma",-0.0118913097760959
"#dontendmedicare",-0.016610459950069
"#dreamact",-0.0149282553924849
"#dreamact.",-0.0671217395468192
"#dreamers",-0.0225571056137024
"#dreamhearing",-0.00983780211462101
"#dreamhearing:",-0.0325603090934465
"#education",-0.0290798679691355
"#egypt",-0.000303507892112116
"#energy",-0.00656862228438669
"#ethanol",-0.0283389924515791
"#filibuster",-0.0157782721262905
"#flood",-0.00863189660657511
"#flooding",0.010613057291841
"#gangofsix",0.0109473866940231
"#gasprices",-0.0108071516781287
"#gop",0.00878054619550828
"#gopbudget",0.00279507213440055
"#iditarod",-0.0138187613288872
"#indiana",-0.0196514032417605
"#isintendedtobeafactualstatement",0.00427390613424978
"#itsnotagame.",-0.0126392649048211
"#jobs.",-0.0152734137595833
"#joplin",-0.0164262899472083
"#ky",0.0200112434833214
"#latcot",0.0533757273231736
"#lgbt",0.0207050707409729
"#libya",-0.00620550586756637
"#libya.",0.0178118212394839
"#livetweet",0.0147555827610154
"#louisiana",-0.0383291909961081
"#lugar",0.0221586617150422
"#maidenspeech",0.00129088972196664
"#marchmadness",0.0108499567725356
"#medicare",-0.0225470890959606
"#mepolitics",-0.0140230984389262
"#ncaa",0.000545695707009228
"#ncgop",-0.00302502546506469
"#netde",0.0496874738579688
"#nh",-0.0388850063121831
"#nj",0.00724106195548122
"#nlrb",-0.0296998864775132
"#nmfire",-0.0322606270342039
"#nola",-0.027328193031213
"#notime2waste",0.0146906978364457
"#nuclear",-0.00857751788030272
"#nvleg",-0.00188272848555435
"#ny",-0.00350626766830439
"#nyc",-0.0382812892705286
"#obama",-0.0134165994935148
"#obamacare.",0.0300739117260687
"#obl",0.0129447574760352
"#ohio",-0.00534520285333378
"#oil",-0.00161479073559944
"#playbookbreakfast",-0.028378331711851
"#pollutedpolitics",-0.0160673766324993
"#potus",-0.00144483986498857
"#r2v",0.0228224044267968
"#repealdoma",-0.0336469579345728
"#scgop",-0.0174623000677186
"#scports",0.0530126709871196
"#sharedsacrifice",-0.0031023840724031
"#shutdown",-0.029105362903688
"#shutdown.",-0.000397554361225129
"#smallbiz",-0.00205104447228212
"#sotu.",-0.000175406838350781
"#sts135",0.00764534350583269
