missingVotes,district,firstname,title,middlename,lastname,first.name,twitter_id,lo,up,party.y,party.x,state,icpsr.id,idealPoint,gender.y,gender.x,label,nameid,ideal_pointEst
18,9,Janice,Rep,D.,Schakowsky,Jan,janschakowsky,-1.88788178788427,-1.37248885843283,D,D,IL,29911,-1.64740755380791,F,F,Schakowsky (D IL-9),S001145,1.02938702418
5,29,Adam,Rep,B.,Schiff,Adam,RepAdamSchiff,-1.10216767562931,-0.812515645008078,D,D,CA,20104,-0.964341023421648,M,M,Schiff (D CA-29),S001150,1.77477311935
6,17,Robert,Rep,T,Schilling,Bobby,RepSchilling,0.498761037183515,0.735270113928783,R,R,IL,NA,0.616862719327312,M,M,Schilling (R IL-17),S001182,1.83458751139
6,2,Jean,Rep,,Schmidt,Jean,RepJeanSchmidt,0.657577199256927,0.901700535572078,R,R,OH,20540,0.787437509517878,F,F,Schmidt (R OH-2),S001164,1.78833023726
40,18,Aaron,Rep,,Schock,Aaron,repaaronschock,0.455483247347753,0.689669870394532,R,R,IL,NA,0.566106231946221,M,M,Schock (R IL-18),S001179,2.43271352993
38,5,Kurt,Rep,,Schrader,Kurt,repschrader,-0.576529904724404,-0.37398741391083,D,D,OR,NA,-0.467620412043647,M,M,Schrader (D OR-5),S001180,1.41871888811
9,5,David,Rep,,Schweikert,David,RepDavid,0.939059724502552,1.24750725393829,R,R,AZ,NA,1.09145940811975,M,M,Schweikert (R AZ-5),S001183,3.16923111
18,8,David,Rep,,Scott,Austin,repdavidscott,0.975894724935487,1.29246396352717,R,D,GA,NA,1.1332230862145,M,M,Scott (R GA-8),S001189,1.62129543055
13,13,David,Rep,,Scott,David,repdavidscott,-0.975481866657198,-0.706636452605563,D,D,GA,20321,-0.846071992430674,M,M,Scott (D GA-13),S001157,1.62129543055
18,8,James,Rep,Austin,Scott,Austin,AustinScottGA08,0.975894724935487,1.29246396352717,R,R,GA,NA,1.1332230862145,M,M,Scott (R GA-8),S001189,1.77477311935
13,13,James,Rep,Austin,Scott,David,AustinScottGA08,-0.975481866657198,-0.706636452605563,D,R,GA,20321,-0.846071992430674,M,M,Scott (D GA-13),S001157,1.77477311935
9,1,Tim,Rep,,Scott,Tim,RepTimScott,1.1914699502497,1.61380058541575,R,R,SC,NA,1.3852481563246,M,M,Scott (R SC-1),S001184,3.73483934935
9,3,Robert,Rep,C.,Scott,Robert,repbobbyscott,-1.14921654188228,-0.841431793688896,D,D,VA,39307,-0.995004001339616,M,M,Scott (D VA-3),S000185,1.20917482354
9,16,Jose,Rep,E.,Serrano,José,repjoseserrano,-1.79677516373093,-1.29388292135477,D,D,NY,15643,-1.53587748467994,M,M,Serrano (D NY-16),S000248,1.53610819967
15,32,Peter,Rep,A.,Sessions,Pete,petesessions,1.23532948530345,1.69796747795042,R,R,TX,29759,1.46904722012245,M,M,Sessions (R TX-32),S000250,3.02641242459
6,27,Brad,Rep,J.,Sherman,Brad,BradSherman,-1.19132910607687,-0.877418250007295,D,D,CA,29707,-1.03596405499899,M,M,Sherman (D CA-27),S000344,1.79879285025
16,19,John,Rep,M.,Shimkus,John,RepShimkus,0.43713180138661,0.66729222398254,R,R,IL,29718,0.556051857540165,M,M,Shimkus (R IL-19),S000364,2.55108314762
21,9,Bill,Rep,,Shuster,Bill,RepBillShuster,0.534478594680397,0.785976870217201,R,R,PA,14052,0.67053071462611,M,M,Shuster (R PA-9),S001154,3.42006235368
14,2,Michael,Rep,K.,Simpson,Mike,CongMikeSimpson,0.399603328409502,0.625021149079244,R,R,ID,29910,0.514444258590385,M,M,Simpson (R ID-2),S001148,1.81257576163
13,13,Albio,Rep,,Sires,Albio,Rep_Albio_Sires,-1.09048393378567,-0.802841877998563,D,D,NJ,20542,-0.955953008793832,M,M,Sires (D NJ-13),S001165,0.798129276068
64,28,Louise,Rep,McIntosh,Slaughter,Louise,louiseslaughter,-1.67210336172045,-1.22095757836747,D,D,NY,15443,-1.43019143614126,F,F,Slaughter (D NY-28),S000480,1.37737663131
16,21,Lamar,Rep,S.,Smith,Lamar,LamarSmithTX21,0.591422846423102,0.840269659510308,R,R,TX,15444,0.719645278817528,M,M,Smith (R TX-21),S000583,4.07106387143
33,9,Adam,Rep,,Smith,Adam,Rep_Adam_Smith,-0.793617232912414,-0.559073845426668,D,D,WA,29768,-0.679529880028763,M,M,Smith (D WA-9),S000510,1.80052038086
5,2,William,Rep,,Southerland,Steve,Rep_Southerland,1.00140950204556,1.32803550102525,R,R,FL,NA,1.16724858227504,M,M,Southerland (R FL-2),S001186,1.77477311935
58,12,K. Jacqueline,Rep,,Speier,Jackie,repspeier,-1.14169832195808,-0.84556453415291,D,D,CA,NA,-0.999202458652027,F,F,Speier (D CA-12),S001175,1.37980309723
9,6,Clifford,Rep,B.,Stearns,Cliff,RepCliffStearns,0.887263386870581,1.18255627355335,R,R,FL,15630,1.04308959599286,M,M,Stearns (R FL-6),S000822,4.07594929026
88,15,Steven,Rep,,Stivers,Steve,RepSteveStivers,0.359879458672516,0.588273293566375,R,R,OH,NA,0.482314258601458,M,M,Stivers (R OH-15),S001187,1.92175247723
19,3,Marlin,Rep,,Stutzman,Marlin,marlinstutzman,1.17657745721353,1.6138357741648,R,R,IN,NA,1.40077052023113,M,M,Stutzman (R IN-3),S001188,2.3885906993
40,1,John,Rep,A.,Sullivan,John,USRepSullivan,0.710938190671715,0.976881860830055,R,R,OK,20131,0.850464288475611,M,M,Sullivan (R OK-1),S001155,2.37216707766
9,2,Lee,Rep,R.,Terry,Lee,LEETERRYNE,0.581798466695465,0.819449062787241,R,R,NE,29921,0.700399299424135,M,M,Terry (R NE-2),T000459,2.0849446789
13,2,Bennie,Rep,G.,Thompson,Bennie,BennieGThompson,-1.09267847396811,-0.804152205796617,D,D,MS,29368,-0.945621742821703,M,M,Thompson (D MS-2),T000193,1.71816293113
5,5,Glenn,Rep,W.,Thompson,Glenn,CongressmanGT,0.487390902792673,0.725705601789638,R,R,PA,NA,0.611413940592317,M,M,Thompson (R PA-5),T000467,2.3243589385
5,3,Scott,Rep,,Tipton,Scott,RepTipton,0.627828564384956,0.885798110551254,R,R,CO,NA,0.768358630136861,M,M,Tipton (R CO-3),T000470,2.61675201344
7,21,Paul,Rep,D.,Tonko,Paul,PaulTonko,-1.59992442427382,-1.17356693257237,D,D,NY,NA,-1.38109135590783,M,M,Tonko (D NY-21),T000469,1.32192596671
46,10,Edolphus,Rep,,Towns,Edolphus,edtowns,-2.10509586965702,-1.52341914965389,D,D,NY,15072,-1.80337640142192,M,M,Towns (D NY-10),T000326,1.49031735059
38,5,Nicola,Rep,S.,Tsongas,Niki,ntsongas,-1.25147438405663,-0.918715748460822,D,D,MA,20754,-1.08472232764076,F,F,Tsongas (D MA-5),T000465,1.20776158029
4,6,Frederick,Rep,Stephen,Upton,Fred,RepFredUpton,0.444781024633798,0.676625769913723,R,R,MI,15445,0.56192639932701,M,M,Upton (R MI-6),U000031,5.37992229792
18,1,Peter,Rep,J.,Visclosky,Peter,repvisclosky,-0.810475568628969,-0.579205716786163,D,D,IN,15240,-0.693678901908849,M,M,Visclosky (D IN-1),V000108,1.98915676462
12,7,Timothy,Rep,L.,Walberg,Tim,RepWalberg,0.935004623360501,1.23245810134064,R,R,MI,20725,1.08014099817561,M,M,Walberg (R MI-7),W000798,1.97794036824
11,2,Greg,Rep,P.,Walden,Greg,repgregwalden,0.433025857158047,0.672143538228837,R,R,OR,29932,0.553834761784302,M,M,Walden (R OR-2),W000791,2.06222315683
10,8,Joe,Rep,,Walsh,Joe,joewalsh8th,0.866159436242108,1.15066480199435,R,R,IL,NA,1.01639116764904,M,M,Walsh (R IL-8),W000811,2.33080643435
62,35,Maxine,Rep,,Waters,Maxine,MaxineWaters,-1.31696148796207,-0.976176752055688,D,D,CA,15840,-1.14659480391734,F,F,Waters (D CA-35),W000187,0.0965329317003
293,9,Anthony,Rep,David,Weiner,Anthony,repweiner,-1.39905124810846,-0.983205358086336,D,D,NY,29926,-1.18321461757939,M,M,Weiner (D NY-9),W000792,1.00811677635
6,22,Allen,Rep,,West,Allen,AllenWest,0.676978895054544,0.934499116590144,R,R,FL,NA,0.802876942019477,M,M,West (R FL-22),W000807,2.38503001281
16,3,Lynn,Rep,A.,Westmoreland,Lynn,repwestmoreland,1.01178123213759,1.35160365504848,R,R,GA,20506,1.1855998111927,M,M,Westmoreland (R GA-3),W000796,4.25298929954
48,17,Frederica,Rep,,Wilson,Frederica,RepWilson,-1.45151075345603,-1.058397656249,D,D,FL,NA,-1.25371362595765,F,F,Wilson (D FL-17),W000808,1.68950448644
22,2,Addison,Rep,Graves,Wilson,Joe,CongJoeWilson,1.1142441219713,1.50563589270054,R,R,SC,20138,1.31951756160322,M,M,Wilson (R SC-2),W000795,2.72664956648
24,1,Robert,Rep,J.,Wittman,Robert,RobWittman,0.481602175833857,0.72302891217942,R,R,VA,99997,0.603927697334665,M,M,Wittman (R VA-1),W000804,4.23291755949
4,3,Steve,Rep,,Womack,Steve,Rep_SteveWomack,0.589446824396277,0.835056146585689,R,R,AR,NA,0.70506369468072,M,M,Womack (R AR-3),W000809,2.30462908328
12,6,Lynn,Rep,C.,Woolsey,Lynn,RepLynnWoolsey,-1.79523752629366,-1.32519039717843,D,D,CA,29309,-1.55382313273733,F,F,Woolsey (D CA-6),W000738,1.77477311935
5,3,Kevin,Rep,,Yoder,Kevin,KevinYoder,0.900851202739121,1.20229965712894,R,R,KS,NA,1.06429820284747,M,M,Yoder (R KS-3),Y000063,2.12541944623
103,1,Donald,Rep,E.,Young,Don,repdonyoung,0.465067682243819,0.700104750470625,R,R,AK,14066,0.580760956706777,M,M,Young (R AK-1),Y000033,1.73958052601
6,9,Todd,Rep,,Young,Todd,RepToddYoung,0.94890740809476,1.25452861034448,R,R,IN,NA,1.10497302802634,M,M,Young (R IN-9),Y000064,2.47747762903
