"last.name","first.name","state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label"
"Ellmers","Renee","NC","2","R","F","E000291",NA,6,0.880987374014797,0.75438812976253,1.02054336210581,"Ellmers (R NC-2)"
"Emerson","Jo Ann","MO","8","R","F","E000172","29736",40,0.45671767674107,0.342832278656349,0.569233064837854,"Emerson (R MO-8)"
"Engel","Eliot","NY","17","D","M","E000179","15605",66,-1.0214884765609,-1.18074193311698,-0.875660329329932,"Engel (D NY-17)"
"Eshoo","Anna","CA","14","D","F","E000215","29312",57,-1.06120634858832,-1.219612844212,-0.892860856316799,"Eshoo (D CA-14)"
"Farenthold","Blake","TX","27","R","M","F000460",NA,15,0.909669541899084,0.775213968777984,1.04156583324215,"Farenthold (R TX-27)"
"Farr","Sam","CA","17","D","M","F000030","29313",16,-1.2613782047033,-1.44996356062427,-1.08442495198148,"Farr (D CA-17)"
"Fattah","Chaka","PA","2","D","M","F000043","29559",33,-1.0941866383601,-1.26051044336473,-0.939291166873644,"Fattah (D PA-2)"
"Filner","Bob","CA","51","D","M","F000116","29325",61,-2.24446542176109,-2.68650341005469,-1.87218181174216,"Filner (D CA-51)"
"Fincher","Stephen","TN","8","R","M","F000458",NA,7,0.902611324226964,0.770589314800436,1.03508402112605,"Fincher (R TN-8)"
"Fitzpatrick","Michael","PA","8","R","M","F000451","20524",12,0.29259781815913,0.196935569340241,0.396988629452702,"Fitzpatrick (R PA-8)"
"Flake","Jeff","AZ","6","R","M","F000444","20100",31,1.2123213124497,1.03460694671446,1.38337508053027,"Flake (R AZ-6)"
"Fleischmann","Chuck","TN","3","R","M","F000459",NA,4,0.915668860282366,0.769384277214642,1.046385031809,"Fleischmann (R TN-3)"
"Fleming","John","LA","4","R","M","F000456",NA,8,1.22396437275649,1.05041720063995,1.40132753159556,"Fleming (R LA-4)"
"Flores","Bill","TX","17","R","M","F000461",NA,13,1.08817411740832,0.92969604201528,1.23742711901191,"Flores (R TX-17)"
"Forbes","J.","VA","4","R","M","F000445","20143",9,0.671077204900244,0.542879361131314,0.787669195223296,"Forbes (R VA-4)"
"Fortenberry","Jeff","NE","1","R","M","F000449","20518",15,0.408837221414961,0.300910942135709,0.511502870754357,"Fortenberry (R NE-1)"
"Foxx","Virginia","NC","5","R","F","F000450","20521",6,1.16793038553972,1.00943227518966,1.33739581615078,"Foxx (R NC-5)"
"Frank","Barney","MA","4","D","M","F000339","14824",19,-1.14389317489309,-1.30861341898732,-0.985555141749166,"Frank (D MA-4)"
"Franks","Trent","AZ","2","R","M","F000448","20304",11,1.165029548829,1.00201360033752,1.32793513792021,"Franks (R AZ-2)"
"Frelinghuysen","Rodney","NJ","11","R","M","F000372","29541",116,0.490143287344012,0.373308596902525,0.616866666331037,"Frelinghuysen (R NJ-11)"
"Fudge","Marcia","OH","11","D","F","F000455",NA,10,-1.41391545563372,-1.63251471775709,-1.20178345598385,"Fudge (D OH-11)"
"Gallegly","Elton","CA","24","R","M","G000021","15412",14,0.780680544405646,0.655388911533208,0.908678645579966,"Gallegly (R CA-24)"
"Garamendi","John","CA","10","D","M","G000559",NA,34,-1.30431488958728,-1.51271862694758,-1.12340898530944,"Garamendi (D CA-10)"
"Gardner","Cory","CO","4","R","M","G000562",NA,6,0.791255384544143,0.656623950546054,0.918292875817292,"Gardner (R CO-4)"
"Garrett","Scott","NJ","5","R","M","G000548","20336",12,1.20611011402192,1.03377291286685,1.37992676198007,"Garrett (R NJ-5)"
"Gerlach","Jim","PA","6","R","M","G000549","20345",13,0.356034119104227,0.249298989550586,0.454122710016291,"Gerlach (R PA-6)"
"Gibbs","Bob","OH","18","R","M","G000563",NA,6,0.855464597519391,0.7270049518846,0.990457112825052,"Gibbs (R OH-18)"
"Gibson","Chris","NY","20","R","M","G000564",NA,6,0.275448823740996,0.16763463996534,0.364213104038282,"Gibson (R NY-20)"
"Giffords","Gabrielle","AZ","8","D","F","G000554","20701",684,-1.050211472975,-2.01739130540915,-0.173451580015947,"Giffords (D AZ-8)"
"Gingrey","Phil","GA","11","R","M","G000550","20319",51,1.026735501701,0.882422778440597,1.17047680249928,"Gingrey (R GA-11)"
"Gohmert","Louie","TX","1","R","M","G000552","20527",53,0.868184034011501,0.741892541346801,1.00571466843043,"Gohmert (R TX-1)"
"Gonzalez","Charlie","TX","20","D","M","G000544","29943",19,-0.631223625685376,-0.746423804895455,-0.520004024685436,"Gonzalez (D TX-20)"
"Goodlatte","Robert","VA","6","R","M","G000289","39308",6,0.957820568994813,0.819729284037373,1.09075823156816,"Goodlatte (R VA-6)"
"Gosar","Paul","AZ","1","R","M","G000565",NA,8,0.792906965435058,0.666200684113442,0.922930086441315,"Gosar (R AZ-1)"
"Gowdy","Trey","SC","4","R","M","G000566",NA,5,1.47899432865523,1.24004322660103,1.70842216856405,"Gowdy (R SC-4)"
"Granger","Kay","TX","12","R","F","G000377","29762",21,0.717297514171336,0.58057529591517,0.834592903731444,"Granger (R TX-12)"
"Graves","Tom","GA","9","R","M","G000560",NA,8,1.4447052712588,1.22762923080322,1.66536460268972,"Graves (R GA-9)"
"Graves","Sam","MO","6","R","M","G000546","20124",39,0.802548964281775,0.671570910145731,0.932426476161961,"Graves (R MO-6)"
