"lastname","state","firstname","middlename","title","party.x","gender.x","twitter_id","first.name","party.y","gender.y","nameid","icpsr.id","class","next.election","missingVotes","idealPoint","lo","up","label"
"Johnson","SD","Tim","P.","Sen","D","M","SenJohnsonSD","Tim","D","M","J000177",15424,"Class II",2014,2,-0.817741550326118,-1.21138934114548,-0.493203132991395,"Johnson (D-SD)"
"Johnson","WI","Ron","","Sen","R","M","SenRonJohnson","Ron","R","M","J000293",NA,"Class III",2016,0,1.39769197876274,1.07511342774743,1.7379707160686,"Johnson (R-WI)"
"Kerry","MA","John","Forbes","Sen","D","M","JohnKerry","John","D","M","K000148",15300,"Class II",2014,13,-0.941429814776051,-1.36485227836581,-0.589304571646933,"Kerry (D-MA)"
"Kirk","IL","Mark","Steven","Sen","R","M","markkirk","Mark","R","M","K000360",20115,"Class III",2016,1,0.429535933705749,0.238484778764684,0.65010892257361,"Kirk (R-IL)"
"Kyl","AZ","Jon","","Sen","R","M","senjonkyl","Jon","R","M","K000352",15428,"Class I",2012,2,0.623693049329891,0.419556476722647,0.868051282967409,"Kyl (R-AZ)"
"Lautenberg","NJ","Frank","R.","Sen","D","M","franklautenberg","Frank","D","M","L000123",15103,"Class II",2014,0,-1.51251078156543,-2.1382760084107,-0.933317319067362,"Lautenberg (D-NJ)"
"Leahy","VT","Patrick","J.","Sen","D","M","SenatorLeahy","Patrick","D","M","L000174",14307,"Class III",2016,4,-1.49116065414031,-2.04544507742148,-0.913121266262599,"Leahy (D-VT)"
"Lieberman","CT","Joseph","I.","Sen","I","M","JoeLieberman","Joseph","ID","M","L000304",15705,"Class I",2012,8,-0.626175217937805,-0.900199114509233,-0.345347784846661,"Lieberman (ID-CT)"
"Lugar","IN","Richard","G.","Sen","R","M","senatorlugar","Richard","R","M","L000504",14506,"Class I",2012,0,0.565831533477503,0.338231931540231,0.801260767228409,"Lugar (R-IN)"
"Manchin","WV","Joe","","Sen","D","M","Sen_JoeManchin","Joe","D","M","M001183",NA,"Class I",2012,1,-0.257351410771035,-0.474941794404924,-0.0436965580127446,"Manchin III (D-WV)"
"McCain","AZ","John","Sidney","Sen","R","M","SenJohnMcCain","John","R","M","M000303",15038,"Class III",2016,8,0.765965486433603,0.537651623430142,1.02111299162278,"McCain (R-AZ)"
"McCaskill","MO","Claire","","Sen","D","F","clairecmc","Claire","D","F","M001170",40701,"Class I",2012,3,-0.396713950514572,-0.628016408886471,-0.161084013566645,"McCaskill (D-MO)"
"Menendez","NJ","Robert","","Sen","D","M","SenatorMenendez","Robert","D","M","M000639",29373,"Class I",2012,4,-0.883167641081786,-1.29456725401541,-0.563150263264307,"Menendez (D-NJ)"
"Merkley","OR","Jeffery","A.","Sen","D","M","SenJeffMerkley","Jeff","D","M","M001176",NA,"Class II",2014,0,-0.818745304131707,-1.1757475071104,-0.495960574220468,"Merkley (D-OR)"
"Mikulski","MD","Barbara","A.","Sen","D","F","senatorbarb","Barbara","D","F","M000702",14440,"Class III",2016,0,-1.66209223899691,-2.32831284179318,-0.952217875334593,"Mikulski (D-MD)"
"Moran","KS","Jerry","","Sen","R","M","JerryMoran","Jerry","R","M","M000934",29722,"Class III",2016,5,0.97902612258998,0.711101913345551,1.25328703005285,"Moran (R-KS)"
"Murkowski","AK","Lisa","A.","Sen","R","F","lisamurkowski","Lisa","R","F","M001153",40300,"Class III",2016,4,0.342339026750379,0.120981312343882,0.532168104575971,"Murkowski (R-AK)"
"Nelson","FL","Bill","","Sen","D","M","SenBillNelson","Bill","D","M","N000032",14651,"Class I",2012,0,-0.511611797451735,-0.77783877891204,-0.267805986608979,"Nelson (D-FL)"
"Nelson","NE","E. Benjamin","","Sen","D","M","SenBenNelson","Ben","D","M","N000180",40103,"Class I",2012,2,-0.0904669174307963,-0.288386496278405,0.0972774046078448,"Nelson (D-NE)"
"Paul","KY","Rand","","Sen","R","M","SenRandPaul","Rand","R","M","P000603",NA,"Class III",2016,5,1.71324887808905,1.3293689850682,2.08413676803881,"Paul (R-KY)"
"Portman","OH","Rob","","Sen","R","M","robportman","Rob","R","M","P000449",29386,"Class III",2016,0,0.881876147299372,0.626267364293253,1.17704786919574,"Portman (R-OH)"
"Reid","NV","Harry","M.","Sen","D","M","SenatorReid","Harry","D","M","R000146",15054,"Class III",2016,0,-0.755884630932726,-1.05330710150028,-0.429821619671942,"Reid (D-NV)"
"Risch","ID","James","E.","Sen","R","M","jamesrisch","Jim","R","M","R000584",NA,"Class II",2014,4,1.41219633187831,1.08589665269545,1.7368506732174,"Risch (R-ID)"
"Roberts","KS","Pat","","Sen","R","M","senpatroberts","Pat","R","M","R000307",14852,"Class II",2014,11,0.922118422114074,0.656533613740595,1.21850566522734,"Roberts (R-KS)"
"Sanders","VT","Bernard","","Sen","I","M","senatorsanders","Bernard","I","M","S000033",15836,"Class I",2012,4,-0.90650284858246,-1.28516900277173,-0.539162398884166,"Sanders (I-VT)"
