"last.name","first.name","state","party","gender","nameid","icpsr.id","class","next.election","missingVotes","idealPoint","lo","up","label"
"Hutchison","Kay","TX","R","F","H001016","49306","Class I","2012",12,0.713347712165175,0.423390049058846,0.986161373016758,"Hutchison (R-TX)"
"Inhofe","James","OK","R","M","I000024","15423","Class II","2014",6,1.24064031576955,0.912243654373694,1.53411238375707,"Inhofe (R-OK)"
"Inouye","Daniel","HI","D","M","I000025","4812","Class III","2016",7,-1.7083629159649,-2.56621597594207,-1.00976818247582,"Inouye (D-HI)"
"Isakson","Johnny","GA","R","M","I000055","29909","Class III","2016",1,0.954346289585819,0.66509232325357,1.2491015538372,"Isakson (R-GA)"
"Johanns","Mike","NE","R","M","J000291",NA,"Class II","2014",0,0.688374527369976,0.419098688950698,0.93367049497053,"Johanns (R-NE)"
"Johnson","Tim","SD","D","M","J000177","15424","Class II","2014",2,-0.817741550326118,-1.21138934114548,-0.493203132991395,"Johnson (D-SD)"
"Johnson","Ron","WI","R","M","J000293",NA,"Class III","2016",0,1.39769197876274,1.07511342774743,1.7379707160686,"Johnson (R-WI)"
"Kerry","John","MA","D","M","K000148","15300","Class II","2014",13,-0.941429814776051,-1.36485227836581,-0.589304571646933,"Kerry (D-MA)"
"Kirk","Mark","IL","R","M","K000360","20115","Class III","2016",1,0.429535933705749,0.238484778764684,0.65010892257361,"Kirk (R-IL)"
"Klobuchar","Amy","MN","D","F","K000367","40700","Class I","2012",0,-0.468773952797824,-0.70009840031124,-0.245330763996957,"Klobuchar (D-MN)"
"Kohl","Herb","WI","D","M","K000305","15704","Class I","2012",4,-0.634420406098963,-0.935796409560899,-0.360279142515928,"Kohl (D-WI)"
"Kyl","Jon","AZ","R","M","K000352","15428","Class I","2012",2,0.623693049329891,0.419556476722647,0.868051282967409,"Kyl (R-AZ)"
"Landrieu","Mary","LA","D","F","L000550","49702","Class II","2014",4,-0.523999210712118,-0.79721362704888,-0.239004696813684,"Landrieu (D-LA)"
"Lautenberg","Frank","NJ","D","M","L000123","15103","Class II","2014",0,-1.51251078156543,-2.1382760084107,-0.933317319067362,"Lautenberg (D-NJ)"
"Leahy","Patrick","VT","D","M","L000174","14307","Class III","2016",4,-1.49116065414031,-2.04544507742148,-0.913121266262599,"Leahy (D-VT)"
"Lee","Mike","UT","R","M","L000577",NA,"Class III","2016",2,1.59002618351789,1.23137849578626,1.94038912080625,"Lee (R-UT)"
"Levin","Carl","MI","D","M","L000261","14709","Class II","2014",0,-0.915439777417264,-1.29746322118201,-0.562815743180775,"Levin (D-MI)"
"Lieberman","Joseph","CT","ID","M","L000304","15705","Class I","2012",8,-0.626175217937805,-0.900199114509233,-0.345347784846661,"Lieberman (ID-CT)"
"Lugar","Richard","IN","R","M","L000504","14506","Class I","2012",0,0.565831533477503,0.338231931540231,0.801260767228409,"Lugar (R-IN)"
"Manchin III","Joe","WV","D","M","M001183",NA,"Class I","2012",1,-0.257351410771035,-0.474941794404924,-0.0436965580127446,"Manchin III (D-WV)"
"McCain","John","AZ","R","M","M000303","15038","Class III","2016",8,0.765965486433603,0.537651623430142,1.02111299162278,"McCain (R-AZ)"
"McCaskill","Claire","MO","D","F","M001170","40701","Class I","2012",3,-0.396713950514572,-0.628016408886471,-0.161084013566645,"McCaskill (D-MO)"
"McConnell","Mitch","KY","R","M","M000355","15301","Class II","2014",0,1.00828981712849,0.724830384664455,1.29126275475889,"McConnell (R-KY)"
"Menendez","Robert","NJ","D","M","M000639","29373","Class I","2012",4,-0.883167641081786,-1.29456725401541,-0.563150263264307,"Menendez (D-NJ)"
"Merkley","Jeff","OR","D","M","M001176",NA,"Class II","2014",0,-0.818745304131707,-1.1757475071104,-0.495960574220468,"Merkley (D-OR)"
"Mikulski","Barbara","MD","D","F","M000702","14440","Class III","2016",0,-1.66209223899691,-2.32831284179318,-0.952217875334593,"Mikulski (D-MD)"
"Moran","Jerry","KS","R","M","M000934","29722","Class III","2016",5,0.97902612258998,0.711101913345551,1.25328703005285,"Moran (R-KS)"
"Murkowski","Lisa","AK","R","F","M001153","40300","Class III","2016",4,0.342339026750379,0.120981312343882,0.532168104575971,"Murkowski (R-AK)"
"Murray","Patty","WA","D","F","M001111","49308","Class III","2016",2,-1.33658914445446,-1.86014835479131,-0.765459859794036,"Murray (D-WA)"
"Nelson","Bill","FL","D","M","N000032","14651","Class I","2012",0,-0.511611797451735,-0.77783877891204,-0.267805986608979,"Nelson (D-FL)"
"Nelson","Ben","NE","D","M","N000180","40103","Class I","2012",2,-0.0904669174307963,-0.288386496278405,0.0972774046078448,"Nelson (D-NE)"
"Paul","Rand","KY","R","M","P000603",NA,"Class III","2016",5,1.71324887808905,1.3293689850682,2.08413676803881,"Paul (R-KY)"
"Portman","Rob","OH","R","M","P000449","29386","Class III","2016",0,0.881876147299372,0.626267364293253,1.17704786919574,"Portman (R-OH)"
"Pryor","Mark","AR","D","M","P000590","40301","Class II","2014",5,-0.327254898286394,-0.539443290052923,-0.0730903765966699,"Pryor (D-AR)"
"Reed","Jack","RI","D","M","R000122","15833","Class II","2014",0,-0.994004807004842,-1.35204625031891,-0.544904820478654,"Reed (D-RI)"
"Reid","Harry","NV","D","M","R000146","15054","Class III","2016",0,-0.755884630932726,-1.05330710150028,-0.429821619671942,"Reid (D-NV)"
"Risch","Jim","ID","R","M","R000584",NA,"Class II","2014",4,1.41219633187831,1.08589665269545,1.7368506732174,"Risch (R-ID)"
"Roberts","Pat","KS","R","M","R000307","14852","Class II","2014",11,0.922118422114074,0.656533613740595,1.21850566522734,"Roberts (R-KS)"
"Rockefeller IV","John","WV","D","M","R000361","15302","Class II","2014",10,-0.912917369286819,-1.25118418185997,-0.553786829170388,"Rockefeller IV (D-WV)"
"Rubio","Marco","FL","R","M","R000595",NA,"Class III","2016",11,1.23661855413704,0.95642899755714,1.5869203494706,"Rubio (R-FL)"
