lastname,firstname,middlename,title,party,state,gender,twitter_id
DeFazio,Peter,A.,Rep,D,OR,M,RepPeterDeFazio
DeGette,Diana,L.,Rep,D,CO,F,RepDianaDeGette
DeLauro,Rosa,L.,Rep,D,CT,F,rosadelauro
DeMint,Jim,W.,Sen,R,SC,M,JimDeMint
Denham,Jeff,,Rep,R,CA,M,RepJeffDenham
DesJarlais,Scott,,Rep,R,TN,M,tndesjarlais
Deutch,Ted,,Rep,D,FL,M,repteddeutch
Diaz-Balart,Mario,,Rep,R,FL,M,MarioDB
Dicks,Norman,D.,Rep,D,WA,M,RepNormDicks
Dingell,John,D.,Rep,D,MI,M,john_dingell
Doggett,Lloyd,A.,Rep,D,TX,M,RepLloydDoggett
Dold,Robert,,Rep,R,IL,M,RepDold
Donnelly,Joe,,Rep,D,IN,M,RepDonnelly
Doyle,Michael,F.,Rep,D,PA,M,USRepMikeDoyle
Duffy,Sean,,Rep,R,WI,M,RepSeanDuffy
Durbin,Richard,J.,Sen,D,IL,M,SenatorDurbin
Edwards,Donna,,Rep,D,MD,F,repdonnaedwards
Ellison,Keith,M.,Rep,D,MN,M,keithellison
Ellmers,Renee,,Rep,R,NC,F,RepReneeEllmers
Ensign,John,Eric,Sen,R,NV,M,SenEnsign
Eshoo,Anna,G.,Rep,D,CA,F,RepAnnaEshoo
Farr,Sam,,Rep,D,CA,M,RepSamFarr
Fattah,Chaka,,Rep,D,PA,M,chakafattah
Filner,Bob,,Rep,D,CA,M,CongBobFilner
Fincher,Stephen,,Rep,R,TN,M,RepFincherTN08
Fitzpatrick,Michael,,Rep,R,PA,M,RepFitzpatrick
Flake,Jeff,,Rep,R,AZ,M,JeffFlake
Fleischmann,Chuck,,Rep,R,TN,M,RepChuck
Fleming,John,,Rep,R,LA,M,RepFleming
Flores,Bill,,Rep,R,TX,M,RepFlores
Forbes,James,Randy,Rep,R,VA,M,Randy_Forbes
Fortenberry,Jeff,,Rep,R,NE,M,JeffFortenberry
Foxx,Virginia,Ann,Rep,R,NC,F,virginiafoxx
Franks,Trent,,Rep,R,AZ,M,RepTrentFranks
Frelinghuysen,Rodney,P.,Rep,R,NJ,M,RodneyforNJ
Fudge,Marcia,L.,Rep,D,OH,F,marciafudge
Gallegly,Elton,W.,Rep,R,CA,M,eltongallegly24
Garamendi,John,,Rep,D,CA,M,garamendica10
Gardner,Cory,,Rep,R,CO,M,RepCory
Gerlach,Jim,,Rep,R,PA,M,JimGerlach
Gibbs,Bob,,Rep,R,OH,M,Bob_gibbs
Gibson,Christopher,,Rep,R,NY,M,RepChrisGibson
Giffords,Gabrielle,,Rep,D,AZ,F,Rep_Giffords
Gillibrand,Kirsten,E.,Sen,D,NY,F,SenGillibrand
Gingrey,Phil,,Rep,R,GA,M,RepPhilGingrey
Gohmert,Louis,,Rep,R,TX,M,replouiegohmert
Goodlatte,Robert,W.,Rep,R,VA,M,RepGoodlatte
Gosar,Paul,,Rep,R,AZ,M,RepGosar
Graham,Lindsey,O.,Sen,R,SC,M,GrahamBlog
Granger,Kay,,Rep,R,TX,F,RepKayGranger
Grassley,Charles,E.,Sen,R,IA,M,ChuckGrassley
Graves,John,Thomas,Rep,R,GA,M,reptomgraves
Green,Al,,Rep,D,TX,M,RepAlGreen
Green,Raymond,Eugene,Rep,D,TX,M,RepGeneGreen
Griffin,Tim,,Rep,R,AR,M,RepTimGriffin
Griffith,Morgan,,Rep,R,VA,M,RepMGriffith
Grijalva,Raul,M.,Rep,D,AZ,M,repraulgrijalva
Guinta,Frank,,Rep,R,NH,M,frankguinta
Gutierrez,Luis,V.,Rep,D,IL,M,repgutierrez
Hagan,Kay,R.,Sen,D,NC,F,SenatorHagan
Hanabusa,Colleen,,Rep,D,HI,F,colleenhanabusa
Hanna,Richard,,Rep,R,NY,M,RepRichardHanna
Harkin,Thomas,,Sen,D,IA,M,SenatorHarkin
Harman,Jane,,Rep,D,CA,F,RepJaneHarman
Harper,Gregg,,Rep,R,MS,M,GreggHarper
Hartzler,Vicky,,Rep,R,MO,F,RepHartzler
Hatch,Orrin,G.,Sen,R,UT,M,OrrinHatch
Hayworth,Nan,,Rep,R,NY,F,RepNanHayworth
Heck,Joe,,Rep,R,NV,M,heck4nevada
Heller,Dean,,Rep,R,NV,M,DeanHeller
Hensarling,Jeb,,Rep,R,TX,M,RepHensarling
Herrera,Jaime,,Rep,R,WA,F,herrerabeutler
Higgins,Brian,M.,Rep,D,NY,M,RepBrianHiggins
Himes,Jim,,Rep,D,CT,M,jahimes
Hinchey,Maurice,D.,Rep,D,NY,M,mauricehinchey
Hinojosa,Ruben,E.,Rep,D,TX,M,USRepRHinojosa
Hirono,Mazie,K.,Rep,D,HI,F,maziehirono
Holden,Tim,,Rep,D,PA,M,RepTimHolden
Holt,Rush,D.,Rep,D,NJ,M,rushholt
Honda,Michael,M.,Rep,D,CA,M,RepMikeHonda
Hoyer,Steny,H.,Rep,D,MD,M,leaderhoyer
Huelskamp,Tim,,Rep,R,KS,M,conghuelskamp
Huizenga,Bill,,Rep,R,MI,M,rephuizenga
Hultgren,Randy,,Rep,R,IL,M,randyhultgren
Hurt,Robert,,Rep,R,VA,M,RepRobertHurt
Hutchison,Kay,Bailey,Sen,R,TX,F,kaybaileyhutch
Inhofe,James,M.,Sen,R,OK,M,jiminhofe
Inouye,Daniel,K.,Sen,D,HI,M,daniel_inouye
Israel,Steve,J.,Rep,D,NY,M,RepSteveIsrael
Issa,Darrell,,Rep,R,CA,M,DarrellIssa
Jackson Lee,Sheila,,Rep,D,TX,F,JacksonLeeTX18
Jenkins,Lynn,M.,Rep,R,KS,F,RepLynnJenkins
Johanns,Mike,O.,Sen,R,NE,M,Mike_Johanns
Johnson,Bill,,Rep,R,OH,M,repbilljohnson
Johnson,Eddie,Bernice,Rep,D,TX,F,RepEBJ
Johnson,Henry,C.,Rep,D,GA,M,RepHankJohnson
Johnson,Ron,,Sen,R,WI,M,SenRonJohnson
Johnson,Tim,P.,Sen,D,SD,M,SenJohnsonSD
Johnson,Timothy,V.,Rep,R,IL,M,RepTimJohnson
Jones,Walter,Beaman,Rep,R,NC,M,RepWalterJones
Jordan,James,,Rep,R,OH,M,Jim_Jordan
Keating,Bill,,Rep,D,MA,M,USRep_Keating
Kerry,John,Forbes,Sen,D,MA,M,JohnKerry
Kind,Ronald,James,Rep,D,WI,M,repronkind
King,Peter,T.,Rep,R,NY,M,RepPeteKing
King,Steve,A.,Rep,R,IA,M,SteveKingPress
Kingston,Jack,,Rep,R,GA,M,JackKingston
Kinzinger,Adam,,Rep,R,IL,M,RepKinzinger
Kirk,Mark,Steven,Sen,R,IL,M,markkirk
Kline,John,P.,Rep,R,MN,M,repjohnkline
Kucinich,Dennis,J.,Rep,D,OH,M,Dennis_Kucinich
Kyl,Jon,,Sen,R,AZ,M,senjonkyl
Labrador,Raul,,Rep,R,ID,M,Raul_Labrador
Landry,Jeff,,Rep,R,LA,M,repjefflandry
Langevin,James,R.,Rep,D,RI,M,jimlangevin
Lankford,James,,Rep,R,OK,M,replankford
Larsen,Rick,,Rep,D,WA,M,larsenrick
Larson,John,B.,Rep,D,CT,M,repjohnlarson
Latham,Thomas,P.,Rep,R,IA,M,TomLatham
LaTourette,Steven,C.,Rep,R,OH,M,LaTourette14
Latta,Robert,Edward,Rep,R,OH,M,boblatta
Lautenberg,Frank,R.,Sen,D,NJ,M,franklautenberg
Leahy,Patrick,J.,Sen,D,VT,M,SenatorLeahy
Lee,Christopher,J.,Rep,R,NY,M,chrislee_ny26
Levin,Sander,M.,Rep,D,MI,M,repsandylevin
Lewis,Jerry,,Rep,R,CA,M,RepJerryLewis
Lewis,John,R.,Rep,D,GA,M,RepJohnLewis
Lieberman,Joseph,I.,Sen,I,CT,M,JoeLieberman
LoBiondo,Frank,A.,Rep,R,NJ,M,RepLoBiondo
Long,Billy,,Rep,R,MO,M,BillyLongMO7
Lowey,Nita,M.,Rep,D,NY,F,NitaLowey
Lugar,Richard,G.,Sen,R,IN,M,senatorlugar
Lujan,Ben,Ray,Rep,D,NM,M,repbenraylujan
Lummis,Cynthia,M.,Rep,R,WY,F,CynthiaLummis
Mack,Connie,,Rep,R,FL,M,RepConnieMack
Maloney,Carolyn,B.,Rep,D,NY,F,carolynbmaloney
Manchin,Joe,,Sen,D,WV,M,Sen_JoeManchin
Manzullo,Donald,A.,Rep,R,IL,M,donmanzullo
Marchant,Kenny,E.,Rep,R,TX,M,RepKenMarchant
Marino,Thomas,,Rep,R,PA,M,RepTomMarino
Markey,Edward,J.,Rep,D,MA,M,markeymemo
Matheson,Jim,,Rep,D,UT,M,RepJimMatheson
Matsui,Doris,O.,Rep,D,CA,F,DorisMatsui
McCain,John,Sidney,Sen,R,AZ,M,SenJohnMcCain
McCarthy,Carolyn,,Rep,D,NY,F,RepMcCarthyNY
McCarthy,Kevin,,Rep,R,CA,M,GOPWhip
McCaskill,Claire,,Sen,D,MO,F,clairecmc
McCaul,Michael,T.,Rep,R,TX,M,McCaulPressShop
McClintock,Tom,,Rep,R,CA,M,RepMcClintock
McCotter,Thaddeus,G.,Rep,R,MI,M,ThadMcCotter
McDermott,James,A.,Rep,D,WA,M,RepJimMcDermott
McGovern,James,P.,Rep,D,MA,M,RepMcGovern
McHenry,Patrick,T.,Rep,R,NC,M,PatrickMcHenry
McIntyre,Mike,,Rep,D,NC,M,repmikemcintyre
McKeon,Howard,P.,Rep,R,CA,M,BuckMcKeon
McKinley,David,,Rep,R,WV,M,RepMcKinley
